表[ひょう] 明[めい][する],ヒョウメイ[スル],表明
根[こん] 拠[きょ],コンキョ,根拠
基[もと] づく,モトズク,依拠
基[もと] に,モトニ,作为依据
図[ず] 表[ひょう],ズヒョウ,图表
飲[の] み 水[みず],ノミミズ,饮用水
こだわり,コダワリ,讲究（对某事抱有特有的兴趣和喜好）
深[ふか] さ,フカサ[カカワリノ〜],深度
関[かか] わり の 深[ふか] さ,フカサ[カカワリノ〜],涉及的深度
危[き] 機[き] 感[かん],キキカン,危机感
糸[いと] 目[め] をつけない,イトメヲツケナイ[カネニ〜],无节制
金[かね] に 糸[いと] 目[め] をつけない,イトメヲツケナイ[カネニ〜],用钱无节制
通[つう] 人[じん],ツウジン,深谙此道之人、行家
茶[ちゃ] 漬[づ] け,チャヅケ,茶泡饭（日式泡饭）
漬[つ] け 物[もの],ツケモノ,咸菜、泡菜
煎[せん] 茶[ちゃ],センチャ,煎茶
飯[めし],メシ,米饭
代[だい] 金[きん],ダイキン,货款
両[りょう],リョウ,两（日本江户时代的货币单位）
分[ぶ],ブ,分（日本江户时代的货币单位）
吟[ぎん] 味[み][する],ギンミ[スル],细细品味
見[み] 当[あ] たる,ミアタル,判断
上[じょう] 流[りゅう],ジョウリュウ,上游
くむ,クム[ミズヲ〜],取、汲
水[みず] をくむ,クム[ミズヲ〜],取水、汲水
早[はや] 飛[び] 脚[きゃく],ハヤビキャク,早飞脚（日本古时送加急信件的信使、送货人）
仕[した] 立[て] てる,シタテル,派遣
故[ゆえ],ユエ,因此
運[うん] 賃[ちん],ウンチン,运费
二[に] の 句[く] もつけない,ニノクモツケナイ,无言以对
上[じょう] 水[すい],じょうすい,上水、自来水
主[しゅ] 流[りゅう],しゅりゅう,主流
清[せい] 列[れつ],せいれつ,清冽
名[めい] 水[すい],めいすい,水质很好的水
目[め] 立[だ]つ,めだつ,显著、引人注目
産[うぶ] 湯[ゆ],うぶゆ,新生儿洗浴用的热水
末[まっ] 期[き],まっき,临终
切[き]る,きる[えんを〜],斩断
縁[えん]を 切[き]る,きる[えんを〜],斩断缘分、断绝关系
あこがれる,,向往、憧憬
一[いっ] 方[ぽう] 的[てき][な],いっぽうてき[な],单方面[的]
決めつける,,决定
あおりをたてる,,煽动
確[かく] 実[じつ][な],かくじつ[な],确实[的]
質[しつ],しつ,质量
落[お]とす,おとす[しつを〜],降低
質[しつ]を 落[お]とす,おとす[しつを〜],降低质量
有[ゆう] 数[すう],ゆうすう,屈指可数［日本〜の観光地/日本屈指可数的旅游景点］
主[しゅ] 食[しょく],しゅしょく,主食
炊く,たく,煮（米饭）
自[じ] 体[たい],じたい,自身
たっぷり,,充分、很多
副[ふく] 食[しょく],ふくしょく,副食
ミソ汁,みそしる,酱汤
大[たい] 半[はん],たいはん,大半
銘[めい] 柄[がら] 米[まい],めいがらまい,品牌米
ひときわ,,极品
玉[ぎょく] 露[ろ],ぎょくろ,玉露（日本产的极品煎茶）
極[ごく] 上[じょう]の,ごくじょうの,极上的、极品的
地[ち] 下[か] 水[すい],ちかすい,地下水
良[りょう] 質[しつ],りょうしつ,优质
豊[ほう] 富[ふ][な],ほうふ[な],丰富[的]
雨[あま] 水[みず],あまみず,雨水
雪[ゆき]どけ 水[みず],ゆきどけみず,融化的雪水
杉[すぎ],すぎ,杉树
松[まつ],まつ,松树
クヌギ,くぬぎ,麻栎、大橡子树
しみ込む,しみこむ,渗进
常[じょう] 時[じ],じょうじ,随时
湧[わ]く,わく,涌出
岩[がん] 石[せき],がんせき,岩石
入[はい]り 込[こ]む,はいりこむ,进入
リゾート 開[かい] 発[はつ],リゾートかいはつ,旅游休闲地开发
ゴルフ 場[じょう],ゴルフじょう,高尔夫球场
伐[ばつ] 採[さい][する],ばっさい[する],砍伐
破[は] 壊[かい][する],はかい[する],破坏
汚[よご]れる,よごれる[ちかすいが〜],污染
地[ち]下[か] 水[すい] が 汚[よご]れる,よごれる[ちかすいが〜],地下水污染
英[えい] 訳[やく][する],えいやく[する],翻译成英语
水[みず] を 差[さ]す,みずをさす,（向锅里）加水、挑拨、泼冷水
水[みず] を 向[む]ける,みずをむける,引出话题
水[みず]かけ 論[ろん],みずかけろん,(互相泼水般的)争论不休
水[みず] 入[い]らず,みずいらず,水泼不进、不夹杂外人
誘[さそ]い 水[みず],さそいみず,水泵抽水前灌的水、引发事件的诱因
堪[たん] 能[のう][な],たんのう[な],擅长[的]
訳[やく]す,やくす,翻译
周[しゅう] 辺[へん],しゅうへん,周边
密[みっ] 着[ちゃく][する],みっちゃく[する],关系密切
独[どく] 自[じ][な],どくじ[な],独自[的]
築[きず]きあげる,きずきあげる,建立起、建成
崩[くず]れる,くずれる,崩溃
共[きょう] 通[つう][する],きょうつう[する],共通
単[たん] 語[ご],たんご,单词
ファッション,,时装
[delete]ファッション,,时装
横[よこ] ばい,よこばい,（走势）持平
進[すす]む,すすむ,进展
減[げん] 少[しょう][する],げんしょう[する],减少
著[いちじる]しい,いちじるしい,显著
とる,[しょくじを〜],用
食[しょく] 事[じ] をとる,[しょくじを〜],用餐
個[こ] 食[しょく],こしょく,独自用餐、分餐制
図[ず],ず,图
興[きょう] 味[み] 深[ぶか]い,きょうみぶかい,意味深长
ご 覧[らん] ください,ごらんください,请看
食[しょく] 育[いく],しょくいく,食育（意为与饮食有关的知识教育）
白[はく] 書[しょ],はくしょ,白皮书
調[ちょう] 理[り][する],ちょうり[する],烹调
聞[き] きなれる,ききなれる,听惯
〜 済[ず]み,〜ずみ[ちょうり〜],已……
調[ちょう] 理[り] 済[ず]み,〜ずみ[ちょうり〜],已烹调
食[しょく] 材[ざい],しょくざい,食材
惣[そう] 菜[ざい],そうざい,熟食
手[て] 軽[がる][な],てがる[な],简便[的]
外[がい] 部[ぶ] 化[か],がいぶか,外部化
再[ふたた]び,ふたたび,再次
近[きん] 年[ねん],きんねん,近年
依[い] 然[ぜん],いぜん,依然
形[けい] 態[たい],けいたい,形态
様[さま] 変[がわ]り,さまがわり,样子改变
受[じゅ] 講[こう][する],じゅこう[する],听讲
気[き] になる,きになる,在意
囲[かこ]む,かこむ[しょくたくを〜],围着
食[しょく] 卓[たく] を 囲[かこ]む,かこむ[しょくたくを〜],围着餐桌
回[かい] 答[とう][する],かいとう[する],回答
〜 人[にん] 中[ちゅう] 〜 人[にん],〜にんちゅう〜にん,……人当中有……人
上[じょう] 昇[しょう][する],じょうしょう[する],上升
就[しゅう] 労[ろう][する],しゅうろう[する],就业
訪[ほう] 日[にち][する],ほうにち[する],访日
推[すい] 移[い][する],すいい[する],推移
キャンペーン,キャンペーン,宣传活动
円[えん] 安[やす],えんやす,日元贬值⇔日元升值（円高）
最[さい] 多[た],さいた,最多
新[しん] 型[がた],しんがた,新型
増[ぞう] 減[げん][する],ぞうげん[する],増減
外[がい] 的[てき][な],がいてき[な],外部的的、外在[的]
要[よう] 因[いん],よういん,要因
信[しん] 頼[らい] 性[せい],しんらいせい,可靠性
入[にゅう] 手[しゅ][する],にゅうしゅ[する],入手
世[せ] 帯[たい],せたい,……戸（家庭的数量）
進[しん] 学[がく] 率[りつ],しんがくりつ,升学率
保[ほ] 有[ゆう] 台[だい] 数[すう],ほゆうだいすう,拥有的辆数
得[え]る,える,得到
よしあし,,好坏
名[めい] 医[い],めいい,名医
けち[な],,吝啬[的]、小气[的]
不[ぶ] 器[き] 用[よう][な],ぶきよう[な],笨拙[的]
俳[はい] 句[く],はいく,俳句
節[せつ] 電[でん][する],せつでん[する],节电
使[し] 用[よう] 量[りょう],しようりょう,使用量
報[ほう] 道[どう][する],ほうどう[する],报道
出[しゅっ] 産[さん][する],しゅっさん[する],生育、生孩子
口[くち] が 悪[わる]い,くちが[の]わるい,毒舌、辛辣的评论、说话不客气
口[くち] の 悪[わる]い,くちが[の]わるい,毒舌、辛辣的评论、说话不客气
評[ひょう] 論[ろん] 家[か],ひょうろんか,评论家
基[き] 本[ほん],きほん,基本
列[れつ],れつ,列
積[つ] み 重[かさ] ねる,つみかさねる,积累
それなり,,相应
年[ねん] 輪[りん],ねんりん,年轮
化[け] 粧[しょう][する],けしょう[する],化妆
判[はん] 断[だん][する],はんだん[する],判断
購[こう] 入[にゅう][する],こうにゅう[する],购进
検[けん] 討[とう][する],けんとう[する],讨论、研究
災[さい] 害[がい] 時[じ],さいがいじ,受灾时
安[あん] 全[ぜん] 基[き] 準[じゅん],あんぜんきじゅん,安全标准
責[せき] 任[にん],せきにん,责任
遺[い] 産[さん],いさん,遗产
外[がい] 交[こう] 官[かん],がいこうかん,外交官
きずな,,羁绊、纽带
深[ふか] める,ふかめる,加深
母[ぼ] 語[ご],ぼご,母语
コレステロール,,胆固醇
値[ち],ち,值
コレステロール 値[ち],ち,胆固醇值
莫[ばく] 大[だい][な],ばくだい[な],庞大[的]
社[しゃ] 会[かい] 貢[こう] 献[けん],しゃかいこうけん,社会贡献
貢[こう] 献[けん][する],こうけん[する],贡献
ブランド,,品牌
バリアフリー,,无障碍
障[しょう] 害[がい],しょうがい,障碍
ダイビング[する],,潜水
[delete]ダイビング[する],,潜水
インスタントラーメン,,方便面
消[しょう] 費[ひ] 量[りょう],しょうひりょう,消费量
総[そう]〜,そう〜[〜しょうひりょう],总……
総[そう]消[しょう] 費[ひ] 量[りょう],そう〜[〜しょうひりょう],总消费量
およそ,,大约
麺[めん],めん,面条
ハウス,,温室、大棚
養[よう] 殖[しょく][する],ようしょく[する],养殖
冷[れい] 凍[とう],れいとう,冷冻
出[で] 回[まわ] る,でまわる,在市面上销售
乏[とぼ] しい,とぼしい,缺乏
イチゴ,,草莓
クリスマスケーキ,,圣诞蛋糕
カツオ,,鲣鱼
サンマ,,秋刀鱼
季[き] 語[ご],きご,季节语（俳句中表示季节的词）
旬[しゅん],しゅん,时令（蔬菜、水果、海鲜上市的时令）
技[わざ],わざ,技艺
しきたり,,惯例
呉[ご] 服[ふく],ごふく,和服
若[わか] だんな,わかだんな,少爷
あらゆる,,所有的
番[ばん] 頭[とう],ばんとう,领班
思[おも] い 知[し] る,おもいしる,得知
蔵[くら],くら,仓库
腐[くさ]る,くさる,腐烂
季[き] 節[せつ] 外[はず]れ,きせつはずれ,非时令（蔬菜、水果等）
房[ふさ],ふさ,橘子瓣儿
せいぜい,,充其量、顶多
これは～を 示[しめ]す～です。, ,这是表示……的……
[delete]これは～を 示[しめ]す～です。, ,这是表示……的……
[delete]これは～を 示[しめ]す～です。, ,这是表示……的……
～に 見[み]られるように、……。, ,正如在……所见的那样……（表示从数据中导出结果的句型）
以[い] 上[じょう] から、…ことがお 分[わ] かりいただけると 思[おも]います。, ,综上所述，我认为各位可以明白……（叙述从数据中了解到的事情）
[delete]以[い] 上[じょう] から、…ことがお 分[わ] かりいただけると 思[おも]います。, ,综上所述，我认为各位可以明白……（叙述从数据中了解到的事情）
…と 言[い]えるのではないでしょうか。, ,可以说……不是吗?（以数据为依据叙述考察的结果）
多[た] 摩[ま] 川[がわ],たまがわ,多摩川：流经东京都注入东京湾的河流。
小[こ] 泉[いずみ] 武[たけ] 夫[お],こいずみたけお,小泉武夫：日本的农学家、作家。1943年出生。
農[のう] 水[すい] 省[しょう],のうすいしょう,日本农林水产省
食[しょく] 育[いく] 白[はく] 書[しょ],しょくいくはくしょ,《食育白皮书》：日本内阁府发行的《关于推进食育政策的报告书》。
イチロー 選[せん] 手[しゅ],イチローせんしゅ,铃木一朗：他在2001年至2012年效力于美国职业棒球大联盟西雅图水手队，2012年赛季中，闪电式地转会至纽约洋基队。
スピルバーグ,スピルバーグ,史蒂文·斯皮尔伯格（Steven Allan Spielberg）：美国电影导演、制片人。1946年出生。
千[せん] 両[りょう] みかん,せんりょうみかん,“千两的橘子”：「落语」的演出节目之一。“两”是日本江户时代的金钱单位。
うたう,,颂扬、讴歌、歌颂［清冽を謳われた〜/以其清冽受到颂扬……］
