説[せつ]明[めい]文[ぶん],せつめいぶん,说明文
切[き]り上[あ]げる,きりあげる,告一段落，结束
謙[けん]遜[そん][する],けんそん[する],谦虚
そこで,,于是、因此
横[よこ]目[め],よこめ,斜视
動[うご]き回[まわ]る,うごきまわる,转来转去、四处转
一[いっ]見[けん],いっけん,乍一看
行[ゆ]き来[き][する],ゆきき[する],往来、跑来跑去
担[かつ]ぐ,かつぐ,扛、搬运
割[わり]合[あい],わりあい,比例
構[こう]成[せい][する],こうせい[する],构成
新[あら]た[な],あらた[な],新[的]
組[そ]織[しき][する],そしき[する],组织
集[しゅう]団[だん],しゅうだん,集団、団体
経[た]つ,たつ,经过
時[じ]間[かん]が 経[た]つ,たつ,時間流逝
分[ぶん]担[たん][する],ぶんたん[する],分担
さすがに,,不愧为
能[のう]率[りつ],のうりつ,效率
落[お]ちる,おちる,下降
能[のう]率[りつ]が 落[お]ちる,おちる,效率下降
登[とう]場[じょう][する],とうじょう[する],出现、登场
ご存[ぞん]じ,ごぞんじ,（您）知道、了解（「知っている」的敬語）
人[じん]材[ざい],じんざい,人才
スタート[する],,开始、起步
特[とく]命[めい],とくめい,特别任命
プロジェクト,,项目
スタープレイヤー,,明星选手
プレイヤー,,選手
からめる,,与……相关[優勝にからめなかった / 与冠军失之交臂]
法[ほう]則[そく],ほうそく,規律、法則
当[あ]たる,あたる,符合
法[ほう]則[そく]が 当[あ]たる,あたる,符合規律
脇[わき]役[やく],わきやく,配角
脚[きゃく]本[ほん],きゃくほん,劇本、脚本
偉[い]大[だい],いだい,偉大[偉大なる脇役たち／伟大的配角们]
脈[みゃく]拍[はく],みゃくはく,脈搏
上[あ]がる,あがる,上升
脈[みゃく]拍[はく]が 上[あ]がる,あがる,脈搏加快
アドレナリン,,腎上腺素
徐[じょ]々[じょ]に,じょじょに,漸漸地
疲[ひ]弊[へい][する],ひへい[する],衰敗、蕭條、疲敝
理[り]想[そう]的[てき],りそうてき[な],理想[的]
[chongfu]参[さん]考[こう]資[し]料[りょう],さんこうしりょう,参考資料
プライベート[な],,個人[的]、私人[的]
示[しめ]す,しめす,表示
興[きょう]味[み]を 示[しめ]す,しめす,表示出興趣
老[し]舗[にせ],しにせ,老字号
優[すぐ]れる,すぐれる,優秀
営[えい]業[ぎょう]マン,えいぎょうマン,營銷人員
太[たい]鼓[こ],たいこ,鼓
腕[うで],うで,技能、手藝
太[たい]鼓[こ]の 腕[うで],うで,打鼓的水平
地[じ]元[もと],じもと,當地
取[と]引[ひき]先[さき],とりひきさき,客户
絨[じゅう]毯[たん],じゅうたん,地毯
出[しゅっ]張[ちょう]所[じょ],しゅっちょうじょ,辦事處
所[しょ]長[ちょう],しょちょう,所長
社[しゃ]名[めい],しゃめい,公司名称
名[な],な,名称
織[おり]物[もの],おりもの,紡織品
モダン[な],,時髦[的]、現代的
市[し]場[じょう]開[かい]拓[たく],しじょうかいたく,开拓市场
開[かい]拓[たく][する],かいたく[する],开拓
きっての,,首屈一指的、第一的
何[なに]しろ,なにしろ,反正、总之
成[せい]果[か],せいか,成果
あげる,[せいかを～],取得、获得
成[せい]果[か]をあげる,[せいかを～],取得成果
実[み],み,果实、成果
結[むす]ぶ,むすぶ,结出
実[み]を 結[むす]ぶ,むすぶ[みを～],结出果実
魅[み]する,みする,使……为之倾倒、迷住
腕[うで]を 磨[みが]く,みがく[うでを～],练本领
好[ず]き,～ずき,喜欢……
太[たい]鼓[こ]好[ず]き,～ずき[たいこ～],喜欢鼓
得[とく]意[い],とくい,擅长、拿手
顔[かお]負[ま]け,かおまけ,相形见绌、比不上、逊色
リズム,,节奏
～ 感[かん],～かん,……感
リズム 感[かん],～かん,节奏感
甘[あま]える,あまえる[おことばに～],顺从
お言[こと]葉[ば]に 甘[あま]える,あまえる[おことばに～],那就听您的吧
メンバー,,成员
リーダー,,领导、领袖
踊[おど]り,おどり,舞蹈
ブレイクダンス,,霹雳舞
才[さい]能[のう],さいのう,才华、天赋
シェフ,,大厨、厨师长
好[こう]意[い],こうい,好意
ホームカミングデイ,,返校日
実[じっ]行[こう]委[い]員[いん],じっこういいん,执行委员
進[しん]行[こう][する],しんこう[する],主持
部[ぶ]下[か],ぶか,部下、下属
後[こう]輩[はい],こうはい,学弟（妹）、后辈、后生
LED 電[でん]球[きゅう],エルイーディーでんきゅう,LED灯泡
[delete]LED 電[でん]球[きゅう],エルイーディーでんきゅう,LED灯泡
電[でん]球[きゅう],でんきゅう,电灯泡
寿[じゅ]命[みょう],じゅみょう,寿命
用[もち]いる,もちいる,使用
お嬢[じょう]さん,おじょうさん,(表示尊敬) 小姐、别人的女儿
転[てん]職[しょく][する],てんしょく[する],跳槽、換工作単位
環[かん]境[きょう]問[もん]題[だい],かんきょうもんだい,環境問題
経[けい]営[えい][する],けいえい[する],経営
すべて,,全部
各[かっ]国[こく],かっこく,各国
地[ち]球[きゅう]温[おん]暖[だん]化[か],ちきゅうおんだんか,全球変暖
温[おん]暖[だん]化[か],おんだんか,変暖
家[か]族[ぞく]関[かん]係[けい],かぞくかんけい,家庭关系
論[ろん]文[ぶん],ろんぶん,论文
題[だい]名[めい],だいめい,标题
ベジタリアン,,素食主义者
選[せん]挙[きょ][する],せんきょ[する],选举
出[で]る,でる[せんきょに～],参加
選[せん]挙[きょ]に 出[で]る,でる[せんきょに～],参加选挙
混[こん]乱[らん][する],こんらん[する],混乱
当[とう]番[ばん],とうばん,值班
交[こう]代[たい][する],こうたい[する],替換、轮流
ピアニスト,,鋼琴家
楽[がっ]器[き],がっき,乐器
一[いっ]家[か],いっか[おんがく～],……世家
音[おん]楽[がく]一[いっ]家[か],いっか[おんがく～],音乐世家
秘[ひ]密[みつ],ひみつ,秘密
帰[き]国[こく]生[せい]徒[と],きこくせいと,回国的学生
かく,[あせを～],流汗
汗[あせ]をかく,[あせを～],流汗
注[ちゅう]文[もん][する],ちゅうもん[する],点（菜、飲料）
マナー,,礼貌、社会公共道德
国[こく]民[みん]栄[えい]誉[よ]賞[しょう],こくみんえいよしょう,国民栄誉奖
栄[えい]誉[よ],えいよ,荣誉
信[しん]頼[らい][する],しんらい[する],信赖、信任
思[おも]い 浮[う]かべる,おもいうかべる,浮现在脑海里
中[ちゅう]年[ねん],ちゅうねん,中年
提[てい]供[きょう][する],ていきょう[する],提供
走[はし]り回[まわ]る,はしりまわる,到处跑
[delete]こうして,,就这样
こうして,,就这样
あっという 間[ま],あっというま,瞬间、眨眼功夫
支[し]社[しゃ],ししゃ,分社、分公司
しみじみ,,深深地、痛切地
つながり,[ひととひととの〜],联系
人[ひと]と 人[ひと]とのつながり,[ひととひととの〜],人与人之间的联系
金[かね]儲[もう]け,かねもうけ,赚钱
緊[きん]急[きゅう],きんきゅう,紧急
共[きょう]生[せい][する],きょうせい[する],共生存
耳[みみ]にする,みみにする,传到耳朵里、(无意中)听到
共[とも]に,ともに,一同
利[り]益[えき],りえき,利润
分[わか]ち 合[あ]う,わかちあう,相互分享、共同分担
ヤドカリ,,寄居蟹
イソギンチャク,,海葵、刺水母
用[よう]語[ご],ようご,用语
社[しゃ]会[かい]科[か]学[がく],しゃかいかがく,社会科学
分[ぶん]野[や],ぶんや,领域
込[こ]める,こめる[いみを〜],包括在内
意[い]味[み]を 込[こ]める,こめる[いみを〜],包含……之意
乗[の]り越[こ]える,のりこえる,克服
怠[なま]け者[もの],なまけもの,懒汉
真[ま]面[じ]目[め][な],まじめ[な],认真的、踏实[的]
ぶら下[さ]がる,ぶらさがる,悬挂、吊
移[い]動[どう][する],いどう[する],移动
エネルギー,,能源
ちょうど,,正好、正巧
賢[かしこ]い,かしこい,聪明
〜さんの 右[みぎ] に 出[で]る 人[ひと] はいない。,,没谁能超过……先生。
そんな 大[たい]したものじゃありません。,,没那么厉害吧。（被表扬后，表示谦虚时用）
いえ、それほどでも。,,啊，哪里哪里，并不是那么……的。（被表扬后，表示谦虚时用）
ただ、 自[じ] 分[ぶん]で 言[い]うのもなんですが、……。,,但是，不瞒你说……（讲述自己感到有些自豪的事情时的开场白）
お 言[こと] 葉[ば]に 甘[あま]えて、……。,,那就听您的吧。（表示接受他人的好意）
水[み]戸[と]黄[こう]門[もん],みとこうもん,《水户黄门》：水户藩主德川光圀为了改造社会而周游日本全国各地的故事。水户是现在的茨城县。
助[すけ]さん、角[かく]さん,すけさん、かくさん,小助和小角：德川光圀周游日本各地时的随从人员。
うっかり八[はち]兵[べえ],うっかりはちべえ,迷糊的八兵卫：《水户黄门》中的一个配角。
『ハリー・ポッター』,ハリー・ポッター,《哈利·波特》：英国女作家J.K.罗琳 (J.K.Rowling) 创作的系列儿童文学奇幻小说，已被拍成电影。
ロン,ロン,罗恩·韦斯莱 (Ron Weasley)：哈利的好友。
ハーマイオニー,ハーマイオニー,赫敏·格兰杰 (Hermione Granger)：哈利的好友。
ネビル・ロングボトム,ネビル・ロングボトム,纳威·隆巴顿 (Neville Longbottom)：哈利与罗恩的室友。
トルコ,トルコ,土耳其
イスタンブール,イスタンブール,伊斯坦布尔
新[にい]潟[がた],にいがた,新潟县：位于日本本州中部地区的东北部，面临日本海的一个县。
佐[さ]渡[ど],さど,新潟县的佐渡岛
鬼[おん] 太[で] 鼓[こ],おんでこ,鬼太鼓：佐渡岛自古传承下来的大鼓。为驱散恶魔，祈祷生意兴隆、五谷丰登而在神社祭祀时击鼓表演。
佐[さ] 渡[ど]おけさ,さどおけさ,日本佐渡岛的民谣
マイケル・ジャクソン,,迈克尔·杰克逊（Michael Jackson 1958—2009）：美国流行歌手。
欧[おう] 米[べい],おうべい,欧美
徳[とく] 島[しま],とくしま,德岛县：日本四国地区东部的一个县。
阿[あ] 波[わ] 踊[おど]り,あわおどり,阿波舞：日本德岛县的盂兰盆舞。
サンバ,,桑巴舞：巴西的民族舞。
右[みぎ]に出[で]る,みぎにでる,超过
行[ぎょう]列[れつ],ぎょうれつ,队伍
比[ひ]率[りつ],ひりつ,比率
チーム,,运动队、团队
現[げん]象[しょう],げんしょう,現象
知[ち]識[しき],ちしき,知识
磨[みが]く,みがく,磨练
代[だい]々,だいだい,历届
調[ちょう]整[せい][する],ちょうせい[する],調整、協調
器[き]用[よう][な],きよう[な],灵巧[的]、精巧[的]
展[てん]開[かい][する],てんかい[する],展开
でかい,,大的
ナマケモノ,,(动物名)树懒
