個[こ] 人[じん] 情[じょう] 報[ほう],コジンジョウホウ,个人信息
流[りゅう] 出[しゅつ][する],リュウシュツ[する],泄密、流失
新[しん] 聞[ぶん] 記[き] 事[じ],シンブンキジ,报刊文章
社[しゃ] 会[かい] 面[めん],シャカイメン,（报纸）社会版
概[がい] 要[よう],ガイヨウ,概要
すばやい,,迅速
事[じ] 実[じつ],ジジツ[〜カンケイ],事实
事[じ] 実[じつ] 関[かん] 係[けい],ジジツ[〜カンケイ],事实关系
不[ふ] 幸[こう][な],フコウ[ナ],不幸[的]
苦[にが] い,ニガイ[〜タイケン],苦涩、艰辛、痛苦[〜体验/痛苦的经历]
慰[なぐさ] める,ナグサメル,安慰
づける,[ゲンキ〜],鼓励
元[げん] 気[き]づける,[ゲンキ〜],鼓励
カード,[カイイン〜],卡、卡片
会[かい] 員[いん] カード,[カイイン〜],会员卡
漏[も] れる,モレル,泄漏
通[つう] 信[しん][する],ツウシン[する],通信
販[はん] 売[ばい][する],ハンバイ[する],销售
同[どう] 社[しゃ],ドウシャ,该公司
加[か] 入[にゅう][する],カニュウ[する],参加、加入
可[か] 能[のう] 性[せい],カノウセイ,可能性
実[じっ] 態[たい],ジッタイ,实际情况
氏[し] 名[めい],シメイ,姓名
預[よ] 金[きん],ヨキン[〜コウザ],存款
口[こう] 座[ざ],コウザ,账户
職[しょく] 業[ぎょう],ショクギョウ,职业
生[せい] 年[ねん] 月[がつ] 日[び],セイネンガッピ,出生年月日
項[こう] 目[もく],コウモク,项、项目
上[じょう] 旬[じゅん],ジョウジュン,上旬
覚[おぼ] え,オボエ[ミニ〜ガナイ],记忆、体验
身[み] に 覚[おぼ] えがない,オボエ[ミニ〜ガナイ],不记得、没经历过
未[み] 払[はら] い,ミハライ[キン],未支付
未[み] 払[はら] い 金[きん],ミハライ[キン],未支付费用
請[せい] 求[きゅう] 書[しょ],セイキュウショ,账单
請[せい] 求[きゅう][する],セイキュウ[する],催账
判[はん] 明[めい][する],ハンメイ[する],了解清楚、弄清楚
同[どう] 様[よう][な],ドウヨウ[ナ],同样[的]
〜 件[けん],〜ケン,……件（如案件的件数）
寄[よ] せる,ヨセル,寄来、发送过来
既[すで] に,スデニ,已经
応[おう] じる,オウジル,应对
支[し] 払[はら] い,シハライ,支付
管[かん] 理[り][する],カンリ[する],管理
事[じ] 態[たい],ジタイ,事态
遺[い] 憾[かん],イカン,遗憾
コンピューターシステム,,计算机系统
システム,,系统
トラブル,,故障
内[ない] 部[ぶ],ナイブ,内部
ないし,,乃至、或者
引[ひ] き 出[だ] す,ヒキダス,提取、调取、抽出
流[りゅう] 失[しつ],リュウシツ,流失
面[めん],メン,方面
システム 面[めん],メン,系统方面
進[すす] める,ススメル[チョウサヲ〜],推进、开展
調[ちょう] 査[さ] を 進[すす] める,ススメル[チョウサヲ〜],开展调查
求[もと] める,モトメル,要求、追求
[chongfu]おわび,,道歉、致歉
書[しょ] 面[めん],ショメン,书面
更[こう] 新[しん][する],コウシン[する],更新
早[さっ] 急[きゅう][な],サッキュウ[ナ],紧急[的]、火速[的]
講[こう] ずる,コウズル,讲求、谋求（対策を〜／谋求应对措施）
被[ひ] 害[がい] 者[しゃ],ヒガイシャ,受害者
有[ゆう] 料[りょう],ユウリョウ,收费
有[ゆう] 料[りょう]サイト,ユウリョウ,收费网站
サイト,,网站
受[う] け 取[と] る,ウケトル,接收、收下
請[せい] 求[きゅう] 金[きん] 額[がく],セイキュウキンガク,应索取的金额
指[し] 定[てい][する],シテイ[する],指定
振[ふ] り 込[こ] む,フリコム,汇款（到银行账户）
だます,ダマス,欺骗
不[ふ] 審[しん][ニ],フシン[ニ],可疑、令人怀疑
懸[けん] 命[めい][な],ケンメイ[ナ],拼命[的]
何[なに] 者[もの],ナニモノ,何人
知[ち] 人[じん],チジン,熟人
日[ひ] 付[づけ],ヒヅケ,日期
タウンニュース,,城市新闻
要[よう] 素[そ],ヨウソ,因素、要素
原[げん] 稿[こう],ゲンコウ,文稿、原稿
[delete]滑[すべ] らす,スベラス,(脚)踩空、脚下打滑
滑[すべ] らす,スベラス,(脚)踩空、脚下打滑
捻[ねん] 挫[ざ][する],ネンザ[する],扭伤、挫伤
後[こう] 悔[かい][する],コウカイ[する],后悔
落[お] ち 込[こ] む,オチコム,消沉、灰心丧气
転[てん] 倒[とう][する],テントウ[する],摔倒
励[はげ] ます,ハゲマス,鼓励
ハンドル,,（自行车、摩托车的）手把、汽车方向盘
切[き] り 損[そこ] ねる,キリソコネル,(摩托车)调转方向失败
ひっくり 返[かえ] る,ヒックリカエル,摔倒、摔翻
人[じん] 身[しん] 事[じ] 故[こ],ジンシンジコ,人身伤亡事件
起[お] こす,オコス[ジコヲ〜],引起
危[あや] うく,アヤウク,险些、差一点儿
左[さ] 折[せつ][する],サセツ[する],左转弯
飛[と] び 出[だ] す,トビダス,突然冲出来
切[き] る,キル[ハンドルヲ〜],转动
